Time,Pulses,Distance,Speed,AX,AY,AZ,GX,GY,GZ,Roll,
Time,Pulses,Distance,Speed,AX,AY,AZ,GX,GY,GZ,Roll,Actual Roll
8249,1,0.35,0,-204,508,15840,523,800,-2,88.16,1.836886569
8482,2,0.69,0.08,-132,436,15680,519,779,1,88.41,1.592763048
8924,3,1.04,0.04,28,236,15484,511,779,-8,89.13,0.873208283
9148,4,1.39,0.09,4,560,15840,564,786,6,87.98,2.024765082
9481,5,1.74,0.06,-180,224,15556,612,824,-8,89.18,0.824978636
9669,6,2.08,0.1,-172,412,16000,536,787,-9,88.52,1.475040365
10025,7,2.43,0.06,-16,512,15740,556,807,-21,88.14,1.863093963
10299,8,2.78,0.07,-116,480,15692,525,773,-4,88.25,1.752064831
10777,9,3.12,0.04,-148,420,15688,544,809,-2,88.47,1.533559445
10980,10,3.47,0.1,-312,496,15880,579,773,-17,88.21,1.789009476
11245,11,3.82,0.07,-100,500,15824,549,775,-6,88.19,1.809805446
11369,12,4.16,0.16,4,704,15904,479,777,-50,87.47,2.5345771
11592,13,4.51,0.09,124,596,15420,468,832,20,87.79,2.213443257
11728,14,4.86,0.14,-8,748,15932,518,802,-8,87.31,2.688036353
11933,15,5.21,0.1,-20,788,15208,381,789,16,87.03,2.966118763
12037,16,5.55,0.19,-104,412,15504,583,769,11,88.48,1.522207621
12205,17,5.9,0.12,88,384,15372,554,763,19,88.57,1.430978697
12303,18,6.25,0.2,80,-16,15968,558,770,-34,90.06,-0.057410582
12473,19,6.59,0.12,20,420,14992,440,908,-22,88.4,1.604718174
12571,20,6.94,0.2,12,396,15844,533,782,-35,88.57,1.431734786
12729,21,7.29,0.13,-64,184,16292,534,750,-7,89.35,0.647064524
12822,22,7.63,0.21,-240,504,15984,474,739,5,88.19,1.806025298
12978,23,7.98,0.13,-212,272,15120,532,780,-59,88.97,1.030606562
13070,24,8.33,0.22,-124,268,16412,645,736,-13,89.06,0.935529142
13234,25,8.68,0.12,-36,344,15536,647,795,8,88.73,1.268442845
13332,26,9.02,0.2,-20,888,15612,533,824,-16,86.74,3.255437481
13512,27,9.37,0.11,88,776,15796,548,772,18,87.19,2.812472069
13628,28,9.72,0.17,-40,576,15316,535,817,-68,87.85,2.153749237
13805,29,10.06,0.11,-16,452,15864,564,753,-27,88.37,1.63204033
13924,30,10.41,0.17,84,652,15660,477,790,-18,87.62,2.384117831
14108,31,10.76,0.11,-280,520,15896,531,766,-45,88.13,1.873627614
14225,32,11.1,0.17,-100,316,15752,509,811,0,88.85,1.149253308
14382,33,11.45,0.13,-100,304,15576,522,805,-7,88.88,1.118111573
14473,34,11.8,0.22,252,352,15584,445,863,-28,88.71,1.293935165
14608,35,12.15,0.15,32,60,16036,530,858,-54,89.79,0.214375825
